nome_repositorio,url,estrelas,data_criacao,idade_em_dias,idade_em_anos,total_pull_requests,total_pull_requests_aceitas,total_releases,data_ultima_atualizacao,dias_desde_ultima_atualizacao,linguagem_primaria,linguagens,total_issues,issues_abertas,issues_fechadas,razao_issues_fechadas,media_prs_aceitas_linguagem,media_releases_linguagem,media_dias_desde_atualizacao_linguagem
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,33662,09/08/2021,1836,5.0,73,24,300,06/07/2026,44,C,"C, Assembly, C++, Batchfile",2804,354,2450,0.8738,1636.36,71.09,40.09
anoma/anoma,https://github.com/anoma/anoma,33658,02/02/2021,2024,5.5,1326,898,12,15/06/2026,65,Makefile,"Makefile, Shell, Elixir",720,90,630,0.875,6824.34,158.88,82.6
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,33636,30/07/2016,3672,10.1,222,88,117,15/08/2024,734,Java,"Java, Groovy, Kotlin, Shell",1597,312,1285,0.8046,1668.22,57.66,146.66
binwiederhier/ntfy,https://github.com/binwiederhier/ntfy,33622,23/10/2021,1761,4.8,612,421,108,18/08/2026,0,Go,"Go, Dockerfile, Makefile, Shell, CSS, JavaScript, HTML",1274,324,950,0.7457,3162.76,209.72,80.52
bayandin/awesome-awesomeness,https://github.com/bayandin/awesome-awesomeness,33609,08/07/2014,4425,12.1,439,197,0,02/06/2024,807,Ruby,Ruby,71,19,52,0.7324,9346.47,112.47,257.87
shadowsocks/shadowsocks,https://github.com/shadowsocks/shadowsocks,33561,20/04/2012,5234,14.3,165,70,2,01/04/2024,870,Python,"Python, Shell",0,0,0,,4381.96,96.0,134.19
apache/kafka,https://github.com/apache/kafka,33560,15/08/2011,5483,15.0,23192,13860,0,19/08/2026,0,Shell,"Shell, Java, Scala, HTML, Python, Batchfile, XSLT, Dockerfile",0,0,0,,6587.32,101.51,68.88
tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,33468,18/10/2020,2131,5.8,16301,12355,15,19/08/2026,0,Python,"Python, Shell, C++, C, Dockerfile, Assembly, HTML, JavaScript, Cuda, Metal",1183,113,1070,0.9045,4381.96,96.0,134.19
XX-net/XX-Net,https://github.com/XX-net/XX-Net,33451,15/01/2015,4234,11.6,490,364,390,21/06/2026,58,Python,"Python, JavaScript, Shell, CSS, HTML, Batchfile, C, VBScript",13368,7923,5445,0.4073,4381.96,96.0,134.19
microsoft/WSL,https://github.com/microsoft/WSL,33444,06/04/2016,3787,10.4,1855,1431,108,19/08/2026,0,Shell,"Shell, Python, PowerShell, CMake, C++, C, C#, Makefile, Batchfile, Dockerfile",12439,913,11526,0.9266,6587.32,101.51,68.88
